operator,attempts,proxy_improved,exact_checked,accepted,rejected,acceptance_rate,exact_acceptance_rate
remove_library,17,1,3,1,16,0.058824,0.333333
move_signed,6,0,6,0,6,0.000000,0.000000
swap_signed,3,0,3,0,3,0.000000,0.000000
block_reinsert,4,0,4,0,4,0.000000,0.000000
swap_signed_with_unsigned,13,0,1,0,13,0.000000,0.000000
reverse_segment,2,0,2,0,2,0.000000,0.000000
insert_library,5,0,0,0,5,0.000000,0.000000
swap_neighbor_libraries,0,0,0,0,0,0.000000,0.000000
critical_path_insert,4,0,3,0,4,0.000000,0.000000
diversity_swap,3,0,3,0,3,0.000000,0.000000
sampled_best_exchange,2,0,0,0,2,0.000000,0.000000
coverage_exchange,106,0,0,46,60,0.433962,0.000000
paired_choice_flip,103,0,0,20,83,0.194175,0.000000
