operator,attempts,proxy_improved,exact_checked,accepted,rejected,acceptance_rate,exact_acceptance_rate
remove_library,18010,39,39,18,17992,0.000999,0.461538
move_signed,4169,740,765,118,4051,0.028304,0.154248
swap_signed,3866,535,552,71,3795,0.018365,0.128623
block_reinsert,3328,336,350,14,3314,0.004207,0.040000
swap_signed_with_unsigned,10369,20,55,12,10357,0.001157,0.218182
reverse_segment,2190,225,231,18,2172,0.008219,0.077922
insert_library,7079,17,191,14,7065,0.001978,0.073298
swap_neighbor_libraries,1360,395,775,325,1035,0.238971,0.419355
critical_path_insert,4526,0,0,0,4526,0.000000,0.000000
diversity_swap,3238,174,2385,174,3064,0.053737,0.072956
sampled_best_exchange,2397,350,350,350,2047,0.146016,1.000000
coverage_exchange,0,0,0,0,0,0.000000,0.000000
paired_choice_flip,0,0,0,0,0,0.000000,0.000000
