operator,attempts,proxy_improved,exact_checked,accepted,rejected,acceptance_rate,exact_acceptance_rate
remove_library,56904,43,336,13,56891,0.000228,0.038690
move_signed,12986,1492,1575,117,12869,0.009010,0.074286
swap_signed,11904,948,1025,82,11822,0.006888,0.080000
block_reinsert,10305,362,415,25,10280,0.002426,0.060241
swap_signed_with_unsigned,32404,0,2,0,32404,0.000000,0.000000
reverse_segment,7018,261,300,26,6992,0.003705,0.086667
insert_library,22374,4,12,4,22370,0.000179,0.333333
swap_neighbor_libraries,4265,1271,2406,235,4030,0.055100,0.097672
critical_path_insert,14208,1,1,1,14207,0.000070,1.000000
diversity_swap,10323,2,104,2,10321,0.000194,0.019231
sampled_best_exchange,7659,9,9,9,7650,0.001175,1.000000
coverage_exchange,0,0,0,0,0,0.000000,0.000000
paired_choice_flip,0,0,0,0,0,0.000000,0.000000
