operator,attempts,proxy_improved,exact_checked,accepted,rejected,acceptance_rate,exact_acceptance_rate
remove_library,1026,40,397,40,986,0.038986,0.100756
move_signed,242,0,184,0,242,0.000000,0.000000
swap_signed,248,1,225,1,247,0.004032,0.004444
block_reinsert,191,0,163,0,191,0.000000,0.000000
swap_signed_with_unsigned,620,1,3,1,619,0.001613,0.333333
reverse_segment,128,0,117,0,128,0.000000,0.000000
insert_library,391,0,13,0,391,0.000000,0.000000
swap_neighbor_libraries,85,1,72,1,84,0.011765,0.013889
critical_path_insert,293,2,2,2,291,0.006826,1.000000
diversity_swap,189,1,4,1,188,0.005291,0.250000
sampled_best_exchange,134,4,4,4,130,0.029851,1.000000
coverage_exchange,0,0,0,0,0,0.000000,0.000000
paired_choice_flip,0,0,0,0,0,0.000000,0.000000
