operator,attempts,proxy_improved,exact_checked,accepted,rejected,acceptance_rate,exact_acceptance_rate
remove_library,56863,44,340,18,56845,0.000317,0.052941
move_signed,13226,1635,1727,93,13133,0.007032,0.053851
swap_signed,11854,1118,1177,77,11777,0.006496,0.065421
block_reinsert,10454,492,552,19,10435,0.001817,0.034420
swap_signed_with_unsigned,32414,2,2,2,32412,0.000062,1.000000
reverse_segment,7069,403,432,16,7053,0.002263,0.037037
insert_library,22202,0,0,0,22202,0.000000,0.000000
swap_neighbor_libraries,4404,1305,2388,234,4170,0.053134,0.097990
critical_path_insert,14198,6,6,6,14192,0.000423,1.000000
diversity_swap,10260,1,1,1,10259,0.000097,1.000000
sampled_best_exchange,7638,2,2,2,7636,0.000262,1.000000
coverage_exchange,0,0,0,0,0,0.000000,0.000000
paired_choice_flip,0,0,0,0,0,0.000000,0.000000
