operator,attempts,proxy_improved,exact_checked,accepted,rejected,acceptance_rate,exact_acceptance_rate
remove_library,56178,20,287,4,56174,0.000071,0.013937
move_signed,13173,1580,1680,114,13059,0.008654,0.067857
swap_signed,11922,1010,1063,52,11870,0.004362,0.048918
block_reinsert,10183,335,383,8,10175,0.000786,0.020888
swap_signed_with_unsigned,32155,0,0,0,32155,0.000000,0.000000
reverse_segment,7155,305,343,26,7129,0.003634,0.075802
insert_library,22569,0,0,0,22569,0.000000,0.000000
swap_neighbor_libraries,4352,1292,2445,258,4094,0.059283,0.105521
critical_path_insert,13923,0,0,0,13923,0.000000,0.000000
diversity_swap,10174,0,0,0,10174,0.000000,0.000000
sampled_best_exchange,7687,0,0,0,7687,0.000000,0.000000
coverage_exchange,0,0,0,0,0,0.000000,0.000000
paired_choice_flip,0,0,0,0,0,0.000000,0.000000
